molecule,atom_index_1,atom_index_2,bond_index,pred_bde
C/C(=C\C1=CC=CC=C1)/C=O,9,10,9,84.46624
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,3,4,3,59.679016
C/C=C/C=C/C(=O)OC,0,9,8,81.10842
C/C=C/C=C/C(=O)OC,0,11,10,81.10842
C/C=C/C=C/C(=O)OC,0,10,9,81.10842
C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C,8,9,8,77.392265
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,5,0,24,82.99706
C1/C=C\CC/C=C\C1,3,4,3,63.137535
C1/C=C\CC/C=C\C1,7,0,7,63.137535
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,7,6,75.55537
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,8,9,8,75.55537
C1=CC=C(C=C1)C2=CC=CC=C2,11,6,12,95.98396
C1=CC=C(C=C1)C2=CC=CC=C2,6,7,6,95.98396
C1=CC=C(C=C1)CC2=CC=CC=C2,6,19,20,83.95191
C1=CC=C(C=C1)CC2=CC=CC=C2,6,18,19,83.95191
C1=CC=C(C=C1)CCC2=CC=CC=C2,6,7,6,67.45198
C1=CC=C(C=C1)CCO,6,7,6,77.00087
C1=CC=C(C=C1)CO,6,13,13,82.41459
C1=CC=C(C=C1)CO,6,14,14,82.41459
C1=CC=C(C=C1)COCC2=CC=CC=C2,7,8,7,74.78586
C1=CC=C(C=C1)COCC2=CC=CC=C2,6,7,6,74.78586
C1=CC=C2C=CC=CC2=C1,8,3,10,97.15939
C1=CC=CC=C1,0,1,0,99.55652
C1=CC=CC=C1,1,2,1,99.55652
C1=CC=CC=C1,2,3,2,99.55652
C1=CC=CC=C1,3,4,3,99.55652
C1=CC=CC=C1,4,5,4,99.55652
C1=CC=CC=C1,5,0,5,99.55652
C1=COC(=C1)C=O,5,6,5,86.98816
C1=COC=C1,1,2,1,97.56681
C1=COC=C1,2,3,2,97.56681
C1C=CCO1,3,4,3,70.82836
C1C=CCO1,4,0,4,70.82836
C1CC(CC=C1)C=O,2,3,2,64.33918
C1CC(OC1)CO,2,5,4,83.63378
C1CC2=CC=CC=C2C1,0,1,0,80.05819
C1CC2=CC=CC=C2C1,8,0,8,80.05819
C1CC2C3CCC(C3)C2C1,0,1,0,85.528145
C1CC=CCCC=C1,0,1,0,63.137535
C1CC=CCCC=C1,4,5,4,63.137535
C1CC=COC1,4,5,4,70.4436
C1CCC(=O)C1,2,3,2,84.44843
C1CCC(=O)C1,3,5,4,84.44843
C1CCC(=O)CC1,2,3,2,81.79331
C1CCC(=O)CC1,3,5,4,81.79331
C1CCC(C1)O,2,3,2,85.720604
C1CCC(C1)O,3,4,3,85.720604
C1CCC(CC1)C2CCCCC2,3,6,5,83.54882
C1CCC(CC1)CO,3,6,5,82.7064
C1CCC(CC1)O,2,3,2,83.76768
C1CCC(CC1)O,3,4,3,83.76768
C1CCC2C(C1)CCC3C2CCCC3,9,3,14,81.08631
C1CCC2CCCCC2C1,8,3,10,82.42336
C1CCC=CC1,1,2,1,79.00237
C1CCC=CC1,5,0,5,79.00237
C1CCCC(=O)CC1,3,4,3,81.79331
C1CCCC(=O)CC1,4,6,5,81.79331
C1CCCC1,0,1,0,86.53877
C1CCCC1,1,2,1,86.53877
C1CCCC1,2,3,2,86.53877
C1CCCC1,3,4,3,86.53877
C1CCCC1,4,0,4,86.53877
C1CCCCC1,0,1,0,87.82388
C1CCCCC1,1,2,1,87.82388
C1CCCCC1,2,3,2,87.82388
C1CCCCC1,3,4,3,87.82388
C1CCCCC1,4,5,4,87.82388
C1CCCCC1,5,0,5,87.82388
C1CCCCCCC1,0,1,0,87.82388
C1CCCCCCC1,1,2,1,87.82388
C1CCCCCCC1,2,3,2,87.82388
C1CCCCCCC1,3,4,3,87.82388
C1CCCCCCC1,4,5,4,87.82388
C1CCCCCCC1,5,6,5,87.82388
C1CCCCCCC1,6,7,6,87.82388
C1CCCCCCC1,7,0,7,87.82388
C1CCOC1,2,3,2,84.47327
C1CCOC1,3,4,3,84.47327
C1CCOCC1,2,3,2,84.17302
C1CCOCC1,3,4,3,84.17302
C1CC[C@@H]2CCCC[C@@H]2C1,8,3,10,83.79455
C1CC[C@H]2CCCC[C@@H]2C1,8,3,10,83.549095
C1COC=C1,1,2,1,69.1794
C=C(CC(C)(C)C)CC(C)(C)CC(C)(C)C,7,8,7,65.796616
C=C1CCC2CC1C2(C)C,2,3,2,73.12748
C=CC(C)(O)CCC=C(C)C,2,5,4,70.71526
C=CC1CCC=CC1,7,2,7,60.359833
C=CC1CCCCC1,2,3,2,73.7171
C=CC1CCCCC1,7,2,7,73.7171
C=CCCCC,2,3,2,74.40789
C=CCCCCCCC=C,2,3,2,74.30962
C=CCCCCCCC=C,6,7,6,74.30962
C=CCCCC[C@H](CCCC)CCCCCC,2,3,2,74.016014
C=COCC1CCC(CC1)COC=C,10,11,10,67.934135
C=COCCO,2,3,2,69.22055
CC(=C)C=C,0,5,4,90.56728
CC(=C)C=C,0,6,5,90.56728
CC(=C)C=C,0,7,6,90.56728
CC(=C)CC(C)(C)C,3,4,3,71.812126
CC(=CC/C=C(\C)/C=C)C,3,14,13,68.94178
CC(=CC/C=C(\C)/C=C)C,3,15,14,68.94178
CC(=CC1=CC=CC=C1)C=O,9,10,9,84.46624
CC(=CC=C(C)C)C,7,21,20,82.40338
CC(=CC=C(C)C)C,7,19,18,82.40338
CC(=CC=C(C)C)C,6,18,17,82.40338
CC(=CC=C(C)C)C,6,17,16,82.40338
CC(=CC=C(C)C)C,6,16,15,82.40338
CC(=CC=C(C)C)C,0,8,7,82.40338
CC(=CC=C(C)C)C,0,9,8,82.40338
CC(=CC=C(C)C)C,0,10,9,82.40338
CC(=CC=C(C)C)C,7,20,19,82.40338
CC(=CC=C(C)C)C,5,15,14,82.40338
CC(=CC=C(C)C)C,5,13,12,82.40338
CC(=CC=C(C)C)C,5,14,13,82.40338
CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,3,4,3,59.821846
CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,7,8,7,59.747257
CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,3,4,3,59.75701
CC(=CCC/C(=C/CO)/C)C,3,4,3,59.996788
CC(=CCC=C(C)C=C)C,3,14,13,68.94178
CC(=CCC=C(C)C=C)C,3,15,14,68.94178
CC(=CCCC(=CCC=C(C)C=C)C)C,3,4,3,59.821846
CC(=CCCC(=CCCC(=CCO)C)C)C,7,8,7,59.747257
CC(=CCCC(=CCCC(C)(C=C)O)C)C,3,4,3,59.75701
CC(=CCCC(=CCO)C)C,3,4,3,59.996788
CC(=CCCCCCCCC)C1=CC=CC=C1,3,4,3,70.46607
CC(=O)CC(C)(C)O,3,4,3,81.33346
CC(=O)CCC(=O)OC,3,4,3,81.80353
CC(=O)OC,1,2,1,93.01792
CC(=O)OCC(COC(=O)C)OC(=O)C,4,5,4,88.85941
CC(=O)OCC(COC(=O)C)OC(=O)C,5,6,5,88.85941
CC(=O)OCC1CCCO1,9,5,9,84.069786
CC(C(CCCCCC)C1CCCCC1)C,1,2,1,79.81934
CC(C)(C)C1=CC=CC=C1,0,1,0,75.269066
CC(C)(C)C1=CC=CC=C1,1,2,1,75.269066
CC(C)(C)C1=CC=CC=C1,1,3,2,75.269066
CC(C)(C)C1CCCC2CCCCC21,1,4,3,79.373146
CC(C)(C)C1CCCc2ccccc21,1,4,3,71.56182
CC(C)(C)O,0,1,0,85.53015
CC(C)(C)O,1,2,1,85.53015
CC(C)(C)O,1,3,2,85.53015
CC(C)(C)OC,4,5,4,83.641174
CC(C)(C)c1ccc2ccccc2c1,0,1,0,75.20292
CC(C)(C)c1ccc2ccccc2c1,1,2,1,75.20292
CC(C)(C)c1ccc2ccccc2c1,1,3,2,75.20292
CC(C)(CCO)OC,6,7,6,84.567696
CC(C)(OC)OC,3,4,3,84.51433
CC(C)(OC)OC,5,6,5,84.51433
CC(C)C(=O)C(C)C,0,1,0,78.84702
CC(C)C(=O)C(C)C,1,2,1,78.84702
CC(C)C(=O)C(C)C,5,6,5,78.84702
CC(C)C(=O)C(C)C,5,7,6,78.84702
CC(C)C(C)C(C)C,1,3,2,81.30828
CC(C)C(C)C(C)C,3,5,4,81.30828
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,0,1,0,76.98851
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,12,13,12,76.98851
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,9,11,10,76.98851
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,9,10,9,76.98851
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,12,14,13,76.98851
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,1,2,1,76.98851
CC(C)C1=CC(=CC=C1)C(C)C,0,1,0,76.90792
CC(C)C1=CC(=CC=C1)C(C)C,1,2,1,76.90792
CC(C)C1=CC(=CC=C1)C(C)C,9,11,10,76.90792
CC(C)C1=CC(=CC=C1)C(C)C,9,10,9,76.90792
CC(C)C1=CC=CC=C1,0,1,0,76.79265
CC(C)C1=CC=CC=C1,1,2,1,76.79265
CC(C)C1CC(CC(C1)C(C)C)C(C)C,1,3,2,83.851585
CC(C)C1CC(CC(C1)C(C)C)C(C)C,7,9,8,83.851585
CC(C)C1CC(CC(C1)C(C)C)C(C)C,5,12,11,83.851585
CC(C)C=O,0,1,0,78.09136
CC(C)C=O,1,2,1,78.09136
CC(C)CC(=O)C,1,3,2,81.4641
CC(C)CC(=O)CC(C)C,1,3,2,81.3906
CC(C)CC(=O)CC(C)C,6,7,6,81.3906
CC(C)CC(C)C,1,3,2,85.890236
CC(C)CC(C)C,3,4,3,85.890236
CC(C)CCC(C)(C)C,4,5,4,83.215485
CC(C)CCC(C)CCC(C)CC=C(C)C,9,11,10,70.651375
CC(C)CCC(CCC(C)C)C(CCC(C)C)CCC(C)C,5,11,10,80.35731
CC(C)CCCC(C)C,1,3,2,85.46008
CC(C)CCCC(C)C,5,6,5,85.46008
CC(C)CCCC(C)CCCC(C)CCO,10,11,10,83.69143
CC(C)CCCC(C)CCO,5,6,5,83.68958
CC(C)CCO,3,4,3,85.26136
CC(C)CCOC(=O)C(C)O,8,9,8,76.44343
CC(C)CCOC(=O)C(C)OCCC(C)C,8,9,8,79.00497
CC(C)CCOC(=O)C.CC(C)CCOC(=O)C,1,3,2,86.585236
CC(C)CCOC(=O)C.CC(C)CCOC(=O)C,10,12,10,86.585236
CC(C)CCOCC(=O)OCCC(C)C,5,6,5,80.1947
CC(C)CCOCCC(C)C,4,5,4,85.219696
CC(C)CCOCCC(C)C,5,6,5,85.219696
CC(C)CCOCCCC(=O)OCCC(C)C,3,4,3,85.296165
CC(C)CO,1,3,2,84.13996
CC(C)COC(=O)C(C)OCC(C)C,7,9,8,78.3229
CC(C)COCC(C)C,1,3,2,84.36406
CC(C)COCC(C)C,5,6,5,84.36406
CC(C)OCCO,4,5,4,84.71743
CC(CC(C)(C)C)CC(C)(C)C,1,2,1,80.71549
CC(CC(C)(C)C)CC(C)(C)C,1,7,6,80.71549
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,7,8,7,76.100105
CC(CC(CCCCCCCC)(CC(C)C)C1=CC=CC=C1)C,3,4,3,73.78008
CC(CC1)OC1C(C2CCC(C)O2)C3CCC(C)O3,18,13,20,81.733864
CC(CC1)OC1C(C2CCC(C)O2)C3CCC(C)O3,4,5,4,81.733864
CC(CC1)OC1C(C2CCC(C)O2)C3CCC(C)O3,12,7,19,81.733864
CC(CC1)OC1C(C2CCC(C)O2)C3CCCO3,17,13,19,80.870895
CC(CCC=C(C)C)CCO,2,3,2,73.10037
CC(COC)O,1,2,1,84.23446
CC(COC)OC(=O)C,3,4,3,84.63713
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC,19,20,19,71.39446
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,10,11,10,74.04171
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,10,11,10,74.04171
CC1(C2CCC(O1)(CC2)C)C,6,1,10,78.685265
CC1(COC1)C,1,2,1,87.086136
CC1(COC1)C,4,1,5,87.086136
CC1(OCC(O1)CO)C,4,6,5,84.78542
CC1=C(C(=C(C=C1)C)C)C,9,23,23,88.893166
CC1=C(C(=C(C=C1)C)C)C,9,21,21,88.893166
CC1=C(C(=C(C=C1)C)C)C,8,20,20,88.893166
CC1=C(C(=C(C=C1)C)C)C,8,19,19,88.893166
CC1=C(C(=C(C=C1)C)C)C,8,18,18,88.893166
CC1=C(C(=C(C=C1)C)C)C,9,22,22,88.893166
CC1=CC(=C(C(=C1)OC)O)OC,7,8,7,67.43273
CC1=CC(=C(C(=C1)OC)O)OC,10,11,10,67.43273
CC1=CC(=C(C=C1)C)C,0,10,10,89.38282
CC1=CC(=C(C=C1)C)C,0,11,11,89.38282
CC1=CC(=C(C=C1)C)C,0,9,9,89.38282
CC1=CC(=C(C=C1)O)OC,8,9,8,59.160664
CC1=CC(=CC(=C1)C)C,8,20,20,89.81951
CC1=CC(=CC(=C1)C)C,8,18,18,89.81951
CC1=CC(=CC(=C1)C)C,7,17,17,89.81951
CC1=CC(=CC(=C1)C)C,7,16,16,89.81951
CC1=CC(=CC(=C1)C)C,7,15,15,89.81951
CC1=CC(=CC(=C1)C)C,8,19,19,89.81951
CC1=CC(=CC=C1)C,0,8,8,89.76863
CC1=CC(=CC=C1)C,7,15,15,89.76863
CC1=CC(=CC=C1)C,0,10,10,89.76863
CC1=CC(=CC=C1)C,0,9,9,89.76863
CC1=CC(=CC=C1)C,7,16,16,89.76863
CC1=CC(=CC=C1)C,7,17,17,89.76863
CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1,7,8,7,58.058342
CC1=CC2=C(C=C1)C=C(C=C2)C,11,23,24,89.62371
CC1=CC2=C(C=C1)C=C(C=C2)C,11,21,22,89.62371
CC1=CC2=C(C=C1)C=C(C=C2)C,0,14,15,89.62371
CC1=CC2=C(C=C1)C=C(C=C2)C,11,22,23,89.62371
CC1=CC2=C(C=C1)C=C(C=C2)C,0,12,13,89.62371
CC1=CC2=C(C=C1)C=C(C=C2)C,0,13,14,89.62371
CC1=CC2=CC=CC=C2C=C1,0,13,14,89.62371
CC1=CC2=CC=CC=C2C=C1,0,11,12,89.62371
CC1=CC2=CC=CC=C2C=C1,0,12,13,89.62371
CC1=CC=C(C=C1)C(C)C,7,9,8,76.502174
CC1=CC=C(C=C1)C(C)C,7,8,7,76.502174
CC1=CC=C(C=C1)OC,7,8,7,67.50444
CC1=CC=C(O1)C,0,7,7,86.02018
CC1=CC=C(O1)C,0,8,8,86.02018
CC1=CC=C(O1)C,0,9,9,86.02018
CC1=CC=C(O1)C,6,12,12,86.02018
CC1=CC=C(O1)C,6,13,13,86.02018
CC1=CC=C(O1)C,6,14,14,86.02018
CC1=CC=C(O1)C(C2=CC=C(O2)C)C3=CC=C(O3)C,6,24,26,68.64445
CC1=CC=C(O1)C(C2=CC=CO2)C3=CC=C(O3)C,6,23,25,68.32098
CC1=CC=CC2=CC=CC=C12,0,13,14,88.983025
CC1=CC=CC2=CC=CC=C12,0,11,12,88.983025
CC1=CC=CC2=CC=CC=C12,0,12,13,88.983025
CC1=CC=CC=C1,0,7,7,89.785805
CC1=CC=CC=C1,0,8,8,89.785805
CC1=CC=CC=C1,0,9,9,89.785805
CC1=CC=CC=C1C,0,8,8,89.80981
CC1=CC=CC=C1C,7,15,15,89.80981
CC1=CC=CC=C1C,0,10,10,89.80981
CC1=CC=CC=C1C,0,9,9,89.80981
CC1=CC=CC=C1C,7,16,16,89.80981
CC1=CC=CC=C1C,7,17,17,89.80981
CC1=CCC(=C(C)CCC=C(C)C)CC1,7,8,7,58.058342
CC1=CCC(=CC1)C(C)C,3,15,15,75.07581
CC1=CCC(=CC1)C(C)C,3,14,14,75.07581
CC1=CCC(CC1)C(=C)C,3,4,3,60.960766
CC1=CCC2C(C1)C2(C)C,3,15,16,80.71789
CC1=CCC2C(C1)C2(C)C,3,14,15,80.71789
CC1=CCC2CC1C2(C)C,3,4,3,77.16926
CC1=CCCC(=C)C2CC(C2CC1)(C)C,3,4,3,60.14922
CC1=CCCCC1,3,4,3,73.880035
CC1CC(=O)CC(C1)(C)C,5,6,5,79.37946
CC1CC(C(C1)(C)C)C,3,4,3,79.199104
CC1CC(CC(C1)C)C,1,2,1,87.685
CC1CC(CC(C1)C)C,3,4,3,87.685
CC1CC(CC(C1)C)C,4,5,4,87.685
CC1CC(CC(C1)C)C,6,1,8,87.685
CC1CCC(C(=O)C1)C(C)C,4,8,7,77.76739
CC1CCC(C(C1)C)C,4,5,4,83.652596
CC1CCC(C(C1)OC(=O)C)C(C)C,4,11,10,84.32737
CC1CCC2CC1C2(C)C,1,2,1,84.28935
CC1CCC=CC1,6,1,6,73.79564
CC1CCCC(C1)C,1,2,1,86.60259
CC1CCCC(C1)C,4,5,4,86.60259
CC1CCCC(C2CC(C2CC1)(C)C)C,11,1,14,83.86611
CC1CCCC1,1,2,1,84.65687
CC1CCCC1,5,1,5,84.65687
CC1CCCC=C1,1,2,1,71.82351
CC1CCCCC1,0,1,0,84.205345
CC1CCCCC1(C)C,6,1,8,81.67208
CC1CCCCC1C,6,1,7,83.03019
CC1CCCO1,5,1,5,82.67319
CC1CCOC(C1)C=C(C)C,4,5,4,71.01463
CC1COC(O1)CC(C)C,1,2,1,84.352135
CC=CC=CC(=O)OC,0,9,8,81.10842
CC=CC=CC(=O)OC,0,11,10,81.10842
CC=CC=CC(=O)OC,0,10,9,81.10842
CCC(=CCCCCCCC=C(CC)CC)CC,4,5,4,72.54696
CCC(=CCCCCCCC=C(CC)CC)CC,8,9,8,72.54696
CCC(=O)C,1,2,1,83.73682
CCC(=O)CC,1,2,1,84.297646
CCC(=O)CC,2,4,3,84.297646
CCC(C)(C)C,1,2,1,83.98504
CCC(C)(C)C(C)C,2,5,4,80.07599
CCC(C)(C)O,1,2,1,83.382515
CCC(C)(CCCC(C)C)O,1,2,1,83.24112
CCC(C)(CCCC(C)CCCC(C)C)O,1,2,1,83.24112
CCC(C)C(C)(C)C,2,4,3,78.9489
CCC(C)C(C)C,2,4,3,82.39808
